_id,Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS,teamId
ObjectId("5e8d4f39a3c4ba8dd2313d90"),1974-75,NBA,Atlanta Hawks,31,51,0.378,4th of 5,-1.32,106.3,1.8,98.3,0.6,99.5,1.8,,C. Fitzsimmons (31-51),J. Drew (7.1),1
ObjectId("5e8d4f39a3c4ba8dd2313d91"),1973-74,NBA,Atlanta Hawks,35,47,0.427,2nd of 4,-1.47,110.8,3,97.7,0,99,1.3,,C. Fitzsimmons (35-47),L. Hudson (8.8),1
ObjectId("5e8d4f39a3c4ba8dd2313d92"),1971-72,NBA,Atlanta Hawks*,36,46,0.439,2nd of 4,-1.94,110.7,-1.3,98.7,0.8,100.3,2.4,Lost E. Conf. Semis,R. Guerin (36-46),W. Bellamy (10.3),1
ObjectId("5e8d4f39a3c4ba8dd2313d93"),1972-73,NBA,Atlanta Hawks*,46,36,0.561,2nd of 4,-0.15,113.8,3.1,98,1.2,98,1.2,Lost E. Conf. Semis,C. Fitzsimmons (46-36),L. Hudson (9.3),1
ObjectId("5e8d4f39a3c4ba8dd2313d94"),1970-71,NBA,Atlanta Hawks*,36,46,0.439,2nd of 4,-1.3,117.2,2.1,96.9,-0.3,98.4,1.2,Lost E. Conf. Semis,R. Guerin (36-46),L. Hudson (7.9),1
ObjectId("5e8d4f39a3c4ba8dd2313d95"),1969-70,NBA,Atlanta Hawks*,48,34,0.585,1st of 7,0.31,114.4,-2.7,102.3,3.3,101.9,2.9,Lost W. Div. Finals,R. Guerin (48-34),L. Hudson (11.1),1
ObjectId("5e8d4f39a3c4ba8dd2313d96"),1968-69,NBA,Atlanta Hawks*,48,34,0.585,2nd of 7,2.06,113.9,-3,97.4,1.9,95.5,0,Lost W. Div. Finals,R. Guerin (48-34),L. Hudson (10.1),1
ObjectId("5e8d4f39a3c4ba8dd2313d97"),1967-68,NBA,St. Louis Hawks*,56,26,0.683,1st of 6,2.37,113.7,-6.1,98.4,1.6,96,-0.8,Lost W. Div. Semis,R. Guerin (56-26),Z. Beaty (11.8),1
ObjectId("5e8d4f39a3c4ba8dd2313d98"),1966-67,NBA,St. Louis Hawks*,39,42,0.481,2nd of 5,-1.44,117.7,-3.9,96.1,0,97.4,1.3,Lost W. Div. Finals,R. Guerin (39-42),L. Wilkens (7.6),1
ObjectId("5e8d4f39a3c4ba8dd2313d99"),1964-65,NBA,St. Louis Hawks*,45,35,0.563,2nd of 5,2.68,115.1,-2.2,94.5,0.9,91.8,-1.8,Lost W. Div. Semis,H. Gallatin (17-16) R. Guerin (28-19),Z. Beaty (10.8),1
ObjectId("5e8d4f39a3c4ba8dd2313d9a"),1965-66,NBA,St. Louis Hawks*,36,44,0.45,3rd of 5,-0.5,116.6,-4.8,95.6,0.7,96.1,1.2,Lost W. Div. Finals,R. Guerin (36-44),Z. Beaty (10.3),1
ObjectId("5e8d4f39a3c4ba8dd2313d9b"),1963-64,NBA,St. Louis Hawks*,46,34,0.575,2nd of 5,1.39,114.6,1.4,95.4,0.8,94,-0.6,Lost W. Div. Finals,H. Gallatin (46-34),B. Pettit (14.9),1
ObjectId("5e8d4f39a3c4ba8dd2313d9c"),1962-63,NBA,St. Louis Hawks*,48,32,0.6,2nd of 5,1.38,115.6,0.6,94.8,-1.1,93.3,-2.6,Lost W. Div. Finals,H. Gallatin (48-32),B. Pettit (14.3),1
