NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE,YEAR,TEAMID,TEAMABRV
4,Joe Dumars,PG,6-3,190,1963-05-24,US,10,McNeese State University,1995-96,10,DET
33,Grant Hill,SF,6-8,225,1972-10-05,US,1,Duke,1995-96,10,DET
20,Allan Houston,SG,6-6,200,1971-04-20,US,2,Tennessee,1995-96,10,DET
1,Lindsey Hunter,PG,6-2,170,1970-12-03,US,2,"Alcorn State University, Jackson State University",1995-96,10,DET
45,Eric Leckner,C,6-11,265,1966-05-27,US,6,Wyoming,1995-96,10,DET
2,Mark Macon,PG,6-5,185,1969-04-14,US,4,Temple,1995-96,10,DET
6,Terry Mills,PF,6-10,230,1967-12-21,US,5,Michigan,1995-96,10,DET
42,Theo Ratliff,C,6-10,225,1973-04-17,US,R,Wyoming,1995-96,10,DET
52,Don Reid,PF,6-8,250,1973-12-30,US,R,Georgetown,1995-96,10,DET
3,Lou Roe,SF,6-7,220,1972-07-14,US,R,UMass,1995-96,10,DET
50,Otis Thorpe,PF,6-9,225,1962-08-05,US,11,Providence,1995-96,10,DET
41,Mark West,C,6-10,230,1960-11-05,US,12,Old Dominion,1995-96,10,DET
2,Stacey Augmon,SG,6-8,205,1968-08-01,US,5,UNLV,1996-97,10,DET
3,Randolph Childress,PG,6-2,188,1972-09-21,US,1,Wake Forest,1996-97,10,DET
12,Michael Curry,SG,6-5,210,1968-08-22,US,2,Georgia Southern University,1996-97,10,DET
4,Joe Dumars,SG,6-3,190,1963-05-24,US,11,McNeese State University,1996-97,10,DET
9,Litterial Green,PG,6-1,185,1970-03-07,US,2,Georgia,1996-97,10,DET
33,Grant Hill,SF,6-8,225,1972-10-05,US,2,Duke,1996-97,10,DET
1,Lindsey Hunter,PG,6-2,170,1970-12-03,US,3,"Alcorn State University, Jackson State University",1996-97,10,DET
43,Grant Long,PF,6-8,225,1966-03-12,US,8,Eastern Michigan,1996-97,10,DET
44,Rick Mahorn,C,6-10,240,1958-09-21,US,15,Hampton,1996-97,10,DET
23,Aaron McKie,SG,6-5,209,1972-10-02,US,2,Temple,1996-97,10,DET
6,Terry Mills,PF,6-10,230,1967-12-21,US,6,Michigan,1996-97,10,DET
42,Theo Ratliff,C,6-10,225,1973-04-17,US,1,Wyoming,1996-97,10,DET
52,Don Reid,PF,6-8,250,1973-12-30,US,1,Georgetown,1996-97,10,DET
30,Kenny Smith,PG,6-3,170,1965-03-08,US,9,UNC,1996-97,10,DET
50,Otis Thorpe,C,6-9,225,1962-08-05,US,12,Providence,1996-97,10,DET
13,Jerome Williams,PF,6-9,206,1973-05-10,US,R,Georgetown,1996-97,10,DET
8,Bison Dele,C,6-9,235,1969-04-06,US,6,"Maryland, Arizona",1997-98,10,DET
4,Joe Dumars,SG,6-3,190,1963-05-24,US,12,McNeese State University,1997-98,10,DET
12,Steve Henson,PG,5-11,177,1968-02-02,US,5,Kansas State,1997-98,10,DET
33,Grant Hill,SF,6-8,225,1972-10-05,US,3,Duke,1997-98,10,DET
1,Lindsey Hunter,PG,6-2,170,1970-12-03,US,4,"Alcorn State University, Jackson State University",1997-98,10,DET
43,Grant Long,PF,6-8,225,1966-03-12,US,9,Eastern Michigan,1997-98,10,DET
44,Rick Mahorn,C,6-10,240,1958-09-21,US,16,Hampton,1997-98,10,DET
23,Aaron McKie,SF,6-5,209,1972-10-02,US,3,Temple,1997-98,10,DET
0,Eric Montross,C,7-0,270,1971-09-23,US,3,UNC,1997-98,10,DET
5,Charles O'Bannon,SG,6-5,209,1975-02-22,US,R,UCLA,1997-98,10,DET
31,Scot Pollard,C,6-11,265,1975-02-12,US,R,Kansas,1997-98,10,DET
42,Theo Ratliff,C,6-10,225,1973-04-17,US,2,Wyoming,1997-98,10,DET
52,Don Reid,PF,6-8,250,1973-12-30,US,2,Georgetown,1997-98,10,DET
14,Malik Sealy,SF,6-8,190,1970-02-01,US,5,St. John's,1997-98,10,DET
42,Jerry Stackhouse,SG,6-6,218,1974-11-05,US,2,UNC,1997-98,10,DET
13,Jerome Williams,PF,6-9,206,1973-05-10,US,1,Georgetown,1997-98,10,DET
20,Corey Beck,PG,6-1,190,1971-05-27,US,2,"South Plains College, Arkansas",1998-99,10,DET
30,Jud Buechler,SF,6-6,220,1968-06-19,US,8,Arizona,1998-99,10,DET
8,Bison Dele,C,6-9,235,1969-04-06,US,7,"Maryland, Arizona",1998-99,10,DET
4,Joe Dumars,SG,6-3,190,1963-05-24,US,13,McNeese State University,1998-99,10,DET
12,Steve Henson,PG,5-11,177,1968-02-02,US,6,Kansas State,1998-99,10,DET
33,Grant Hill,SF,6-8,225,1972-10-05,US,4,Duke,1998-99,10,DET
1,Lindsey Hunter,PG,6-2,170,1970-12-03,US,5,"Alcorn State University, Jackson State University",1998-99,10,DET
32,Christian Laettner,PF,6-11,235,1969-08-17,US,6,Duke,1998-99,10,DET
3,Mark Macon,SG,6-5,185,1969-04-14,US,5,Temple,1998-99,10,DET
0,Eric Montross,C,7-0,270,1971-09-23,US,4,UNC,1998-99,10,DET
31,Mikki Moore,C,6-11,225,1975-11-04,US,R,Nebraska,1998-99,10,DET
5,Charles O'Bannon,SG,6-5,209,1975-02-22,US,1,UCLA,1998-99,10,DET
20,Khalid Reeves,PG,6-3,199,1972-07-15,US,4,Arizona,1998-99,10,DET
52,Don Reid,PF,6-8,250,1973-12-30,US,3,Georgetown,1998-99,10,DET
42,Jerry Stackhouse,SG,6-6,218,1974-11-05,US,3,UNC,1998-99,10,DET
35,Loy Vaught,PF,6-9,230,1968-02-27,US,8,Michigan,1998-99,10,DET
13,Jerome Williams,PF,6-9,206,1973-05-10,US,2,Georgetown,1998-99,10,DET
45,Korleone Young,SF,6-7,213,1978-12-31,US,R,,1998-99,10,DET
20,Marcus Brown,SG,6-3,185,1974-04-03,US,1,Murray State,1999-0,10,DET
30,Jud Buechler,SF,6-6,220,1968-06-19,US,9,Arizona,1999-0,10,DET
22,John Crotty,PG,6-1,185,1969-07-15,US,7,Virginia,1999-0,10,DET
12,Michael Curry,SG,6-5,210,1968-08-22,US,5,Georgia Southern University,1999-0,10,DET
33,Grant Hill,SF,6-8,225,1972-10-05,US,5,Duke,1999-0,10,DET
1,Lindsey Hunter,PG,6-2,170,1970-12-03,US,6,"Alcorn State University, Jackson State University",1999-0,10,DET
5,Jermaine Jackson,SG,6-4,204,1976-06-07,US,R,Detroit Mercy,1999-0,10,DET
32,Christian Laettner,C,6-11,235,1969-08-17,US,7,Duke,1999-0,10,DET
6,Terry Mills,PF,6-10,230,1967-12-21,US,9,Michigan,1999-0,10,DET
0,Eric Montross,C,7-0,270,1971-09-23,US,5,UNC,1999-0,10,DET
31,Mikki Moore,C,6-11,225,1975-11-04,US,1,Nebraska,1999-0,10,DET
52,Don Reid,PF,6-8,250,1973-12-30,US,4,Georgetown,1999-0,10,DET
42,Jerry Stackhouse,SG,6-6,218,1974-11-05,US,4,UNC,1999-0,10,DET
35,Loy Vaught,PF,6-9,230,1968-02-27,US,9,Michigan,1999-0,10,DET
13,Jerome Williams,PF,6-9,206,1973-05-10,US,3,Georgetown,1999-0,10,DET
7,Chucky Atkins,PG,5-11,160,1974-08-14,US,1,South Florida,2000-1,10,DET
1,Dana Barros,PG,5-11,163,1967-04-13,US,11,Boston College,2000-1,10,DET
30,Jud Buechler,SF,6-6,220,1968-06-19,US,10,Arizona,2000-1,10,DET
35,Brian Cardinal,PF,6-8,245,1977-05-02,US,R,Purdue,2000-1,10,DET
23,Cedric Ceballos,SF,6-6,190,1969-08-02,US,10,"California State University, Fullerton",2000-1,10,DET
24,Mateen Cleaves,PG,6-2,205,1977-09-07,US,R,Michigan State,2000-1,10,DET
12,Michael Curry,SG,6-5,210,1968-08-22,US,6,Georgia Southern University,2000-1,10,DET
9,KornÃ©l DÃ¡vid,SF,6-9,235,1971-10-22,HU,2,,2000-1,10,DET
0,Eric Montross,C,7-0,270,1971-09-23,US,6,UNC,2000-1,10,DET
31,Mikki Moore,C,6-11,225,1975-11-04,US,2,Nebraska,2000-1,10,DET
5,Billy Owens,PF,6-8,220,1969-05-01,US,9,Syracuse,2000-1,10,DET
32,Joe Smith,PF,6-10,225,1975-07-26,US,5,Maryland,2000-1,10,DET
42,Jerry Stackhouse,SG,6-6,218,1974-11-05,US,5,UNC,2000-1,10,DET
3,Ben Wallace,C,6-9,240,1974-09-10,US,4,Virginia Union University,2000-1,10,DET
44,John Wallace,SF,6-8,225,1974-02-09,US,4,Syracuse,2000-1,10,DET
13,Jerome Williams,PF,6-9,206,1973-05-10,US,4,Georgetown,2000-1,10,DET
34,Corliss Williamson,SF,6-7,245,1973-12-04,US,5,Arkansas,2000-1,10,DET
9,Victor Alexander,C,6-9,265,1969-08-31,US,4,Iowa State,2001-2,10,DET
7,Chucky Atkins,PG,5-11,160,1974-08-14,US,2,South Florida,2001-2,10,DET
1,Dana Barros,PG,5-11,163,1967-04-13,US,12,Boston College,2001-2,10,DET
20,Jon Barry,SG,6-4,195,1969-07-25,US,9,"University of the Pacific, Georgia Tech",2001-2,10,DET
35,Brian Cardinal,PF,6-8,245,1977-05-02,US,1,Purdue,2001-2,10,DET
12,Michael Curry,SG,6-5,210,1968-08-22,US,7,Georgia Southern University,2001-2,10,DET
14,Damon Jones,PG,6-3,185,1976-08-25,US,3,Houston,2001-2,10,DET
31,Mikki Moore,C,6-11,225,1975-11-04,US,3,Nebraska,2001-2,10,DET
39,Å½eljko RebraÄa,C,7-0,257,1972-04-09,RS,R,,2001-2,10,DET
30,Clifford Robinson,PF,6-10,225,1966-12-16,US,12,UConn,2001-2,10,DET
42,Jerry Stackhouse,SF,6-6,218,1974-11-05,US,6,UNC,2001-2,10,DET
44,Ratko Varda,C,7-1,260,1979-05-06,BA,R,,2001-2,10,DET
3,Ben Wallace,C,6-9,240,1974-09-10,US,5,Virginia Union University,2001-2,10,DET
5,Rodney White,SF,6-9,238,1980-06-28,US,R,UNC Charlotte,2001-2,10,DET
34,Corliss Williamson,SF,6-7,245,1973-12-04,US,6,Arkansas,2001-2,10,DET
7,Chucky Atkins,PG,5-11,160,1974-08-14,US,3,South Florida,2002-3,10,DET
20,Jon Barry,SG,6-4,195,1969-07-25,US,10,"University of the Pacific, Georgia Tech",2002-3,10,DET
1,Chauncey Billups,PG,6-3,202,1976-09-25,US,5,Colorado,2002-3,10,DET
12,Michael Curry,SF,6-5,210,1968-08-22,US,8,Georgia Southern University,2002-3,10,DET
44,Hubert Davis,SG,6-5,183,1970-05-17,US,10,UNC,2002-3,10,DET
32,Richard Hamilton,SG,6-6,185,1978-02-14,US,3,UConn,2002-3,10,DET
5,Danny Manning,PF,6-10,230,1966-05-17,US,14,Kansas,2002-3,10,DET
13,Mehmet Okur,PF,6-11,249,1979-05-26,TR,R,,2002-3,10,DET
22,Tayshaun Prince,SF,6-9,212,1980-02-28,US,R,Kentucky,2002-3,10,DET
39,Å½eljko RebraÄa,C,7-0,257,1972-04-09,RS,1,,2002-3,10,DET
52,Don Reid,PF,6-8,250,1973-12-30,US,7,Georgetown,2002-3,10,DET
30,Clifford Robinson,PF,6-10,225,1966-12-16,US,13,UConn,2002-3,10,DET
6,Pepe SÃ¡nchez,PG,6-4,195,1977-05-08,AR,1,Temple,2002-3,10,DET
3,Ben Wallace,C,6-9,240,1974-09-10,US,6,Virginia Union University,2002-3,10,DET
34,Corliss Williamson,SF,6-7,245,1973-12-04,US,7,Arkansas,2002-3,10,DET
7,Chucky Atkins,PG,5-11,160,1974-08-14,US,4,South Florida,2003-4,10,DET
1,Chauncey Billups,PG,6-3,202,1976-09-25,US,6,Colorado,2003-4,10,DET
41,Elden Campbell,C,6-11,215,1968-07-23,US,13,Clemson,2003-4,10,DET
44,Hubert Davis,SG,6-5,183,1970-05-17,US,11,UNC,2003-4,10,DET
24,Tremaine Fowlkes,SF,6-8,220,1976-04-11,US,2,"California, Fresno State",2003-4,10,DET
8,Darvin Ham,SF,6-7,220,1973-07-23,US,6,Texas Tech,2003-4,10,DET
32,Richard Hamilton,SG,6-6,185,1978-02-14,US,4,UConn,2003-4,10,DET
10,Lindsey Hunter,SG,6-2,170,1970-12-03,US,10,"Alcorn State University, Jackson State University",2003-4,10,DET
7,Mike James,PG,6-2,188,1975-06-23,US,2,Duquesne,2003-4,10,DET
31,Darko MiliÄiÄ‡,C,7-0,250,1985-06-20,RS,R,,2003-4,10,DET
13,Mehmet Okur,PF,6-11,249,1979-05-26,TR,1,,2003-4,10,DET
22,Tayshaun Prince,SF,6-9,212,1980-02-28,US,1,Kentucky,2003-4,10,DET
39,Å½eljko RebraÄa,C,7-0,257,1972-04-09,RS,2,,2003-4,10,DET
5,Bob Sura,SG,6-5,200,1973-03-25,US,8,Florida State,2003-4,10,DET
3,Ben Wallace,C,6-9,240,1974-09-10,US,7,Virginia Union University,2003-4,10,DET
30,Rasheed Wallace,PF,6-10,225,1974-09-17,US,8,UNC,2003-4,10,DET
34,Corliss Williamson,PF,6-7,245,1973-12-04,US,8,Arkansas,2003-4,10,DET
30,Carlos Arroyo,PG,6-2,202,1979-07-30,PR,3,Florida International University,2004-5,10,DET
1,Chauncey Billups,PG,6-3,202,1976-09-25,US,7,Colorado,2004-5,10,DET
41,Elden Campbell,C,6-11,215,1968-07-23,US,14,Clemson,2004-5,10,DET
44,Derrick Coleman,C,6-10,230,1967-06-21,US,14,Syracuse,2004-5,10,DET
20,Carlos Delfino,SG,6-6,230,1982-08-29,AR,R,,2004-5,10,DET
12,Ronald Dupree,SF,6-7,209,1981-01-26,US,1,LSU,2004-5,10,DET
7,Anthony Goldwire,PG,6-1,182,1971-09-06,US,6,Houston,2004-5,10,DET
8,Darvin Ham,SF,6-7,220,1973-07-23,US,7,Texas Tech,2004-5,10,DET
32,Richard Hamilton,SG,6-6,185,1978-02-14,US,5,UConn,2004-5,10,DET
10,Lindsey Hunter,SG,6-2,170,1970-12-03,US,11,"Alcorn State University, Jackson State University",2004-5,10,DET
5,Horace Jenkins,PG,6-1,180,1974-10-14,US,R,William Paterson University,2004-5,10,DET
24,Antonio McDyess,PF,6-9,220,1974-09-07,US,8,Alabama,2004-5,10,DET
31,Darko MiliÄiÄ‡,C,7-0,250,1985-06-20,RS,1,,2004-5,10,DET
7,Smush Parker,PG,6-4,190,1981-06-01,US,1,Fordham,2004-5,10,DET
22,Tayshaun Prince,SF,6-9,212,1980-02-28,US,2,Kentucky,2004-5,10,DET
3,Ben Wallace,C,6-9,240,1974-09-10,US,8,Virginia Union University,2004-5,10,DET
36,Rasheed Wallace,PF,6-10,225,1974-09-17,US,9,UNC,2004-5,10,DET
6,Alex Acker,SG,6-5,185,1983-01-21,US,R,Pepperdine,2005-6,10,DET
30,Carlos Arroyo,PG,6-2,202,1979-07-30,PR,4,Florida International University,2005-6,10,DET
1,Chauncey Billups,PG,6-3,202,1976-09-25,US,8,Colorado,2005-6,10,DET
13,Kelvin Cato,C,6-11,255,1974-08-26,US,8,"University of South Alabama, Iowa State",2005-6,10,DET
34,Dale Davis,C,6-11,230,1969-03-25,US,14,Clemson,2005-6,10,DET
20,Carlos Delfino,SG,6-6,230,1982-08-29,AR,1,,2005-6,10,DET
0,Tony Delk,PG,6-1,189,1974-01-28,US,9,Kentucky,2005-6,10,DET
5,Maurice Evans,SG,6-5,220,1978-11-08,US,2,"Wichita State, Texas",2005-6,10,DET
32,Richard Hamilton,SG,6-6,185,1978-02-14,US,6,UConn,2005-6,10,DET
10,Lindsey Hunter,PG,6-2,170,1970-12-03,US,12,"Alcorn State University, Jackson State University",2005-6,10,DET
25,Amir Johnson,SF,6-9,240,1987-05-01,US,R,,2005-6,10,DET
54,Jason Maxiell,PF,6-7,260,1983-02-18,US,R,Cincinnati,2005-6,10,DET
24,Antonio McDyess,PF,6-9,220,1974-09-07,US,9,Alabama,2005-6,10,DET
31,Darko MiliÄiÄ‡,C,7-0,250,1985-06-20,RS,2,,2005-6,10,DET
22,Tayshaun Prince,SF,6-9,212,1980-02-28,US,3,Kentucky,2005-6,10,DET
3,Ben Wallace,C,6-9,240,1974-09-10,US,9,Virginia Union University,2005-6,10,DET
36,Rasheed Wallace,PF,6-10,225,1974-09-17,US,10,UNC,2005-6,10,DET
1,Chauncey Billups,PG,6-3,202,1976-09-25,US,9,Colorado,2006-7,10,DET
8,Will Blalock,PG,6-0,205,1983-09-08,US,R,Iowa State,2006-7,10,DET
34,Dale Davis,C,6-11,230,1969-03-25,US,15,Clemson,2006-7,10,DET
20,Carlos Delfino,SG,6-6,230,1982-08-29,AR,2,,2006-7,10,DET
12,Ronald Dupree,SF,6-7,209,1981-01-26,US,3,LSU,2006-7,10,DET
32,Richard Hamilton,SG,6-6,185,1978-02-14,US,7,UConn,2006-7,10,DET
10,Lindsey Hunter,PG,6-2,170,1970-12-03,US,13,"Alcorn State University, Jackson State University",2006-7,10,DET
25,Amir Johnson,PF,6-9,240,1987-05-01,US,1,,2006-7,10,DET
54,Jason Maxiell,C,6-7,260,1983-02-18,US,1,Cincinnati,2006-7,10,DET
24,Antonio McDyess,PF,6-9,220,1974-09-07,US,10,Alabama,2006-7,10,DET
13,Nazr Mohammed,C,6-10,221,1977-09-05,US,8,Kentucky,2006-7,10,DET
6,Ronald Murray,SG,6-4,190,1979-07-29,US,4,"Meridian Community College, Shaw",2006-7,10,DET
22,Tayshaun Prince,SF,6-9,212,1980-02-28,US,4,Kentucky,2006-7,10,DET
36,Rasheed Wallace,C,6-10,225,1974-09-17,US,11,UNC,2006-7,10,DET
84,Chris Webber,PF,6-9,245,1973-03-01,US,13,Michigan,2006-7,10,DET
28,Arron Afflalo,SG,6-5,210,1985-10-15,US,R,UCLA,2007-8,10,DET
1,Chauncey Billups,PG,6-3,202,1976-09-25,US,10,Colorado,2007-8,10,DET
7,PrimoÅ¾ Brezec,C,7-2,252,1979-10-02,SI,6,,2007-8,10,DET
8,Juan Dixon,PG,6-3,164,1978-10-09,US,5,Maryland,2007-8,10,DET
12,Ronald Dupree,SF,6-7,209,1981-01-26,US,4,LSU,2007-8,10,DET
32,Richard Hamilton,SG,6-6,185,1978-02-14,US,8,UConn,2007-8,10,DET
9,Jarvis Hayes,SF,6-7,220,1981-08-09,US,4,"Western Carolina University, Georgia",2007-8,10,DET
5,Walter Herrmann,PF,6-9,225,1979-06-26,AR,1,,2007-8,10,DET
10,Lindsey Hunter,PG,6-2,170,1970-12-03,US,14,"Alcorn State University, Jackson State University",2007-8,10,DET
25,Amir Johnson,PF,6-9,240,1987-05-01,US,2,,2007-8,10,DET
54,Jason Maxiell,C,6-7,260,1983-02-18,US,2,Cincinnati,2007-8,10,DET
24,Antonio McDyess,PF,6-9,220,1974-09-07,US,11,Alabama,2007-8,10,DET
13,Nazr Mohammed,C,6-10,221,1977-09-05,US,9,Kentucky,2007-8,10,DET
6,Ronald Murray,PG,6-4,190,1979-07-29,US,5,"Meridian Community College, Shaw",2007-8,10,DET
22,Tayshaun Prince,SF,6-9,212,1980-02-28,US,5,Kentucky,2007-8,10,DET
42,Theo Ratliff,C,6-10,225,1973-04-17,US,12,Wyoming,2007-8,10,DET
35,Cheikh Samb,C,7-1,245,1984-10-22,SN,R,,2007-8,10,DET
3,Rodney Stuckey,PG,6-5,210,1986-04-21,US,R,Eastern Washington,2007-8,10,DET
36,Rasheed Wallace,C,6-10,225,1974-09-17,US,12,UNC,2007-8,10,DET
6,Alex Acker,SG,6-5,185,1983-01-21,US,1,Pepperdine,2008-9,10,DET
28,Arron Afflalo,SG,6-5,210,1985-10-15,US,1,UCLA,2008-9,10,DET
1,Chauncey Billups,PG,6-3,202,1976-09-25,US,11,Colorado,2008-9,10,DET
38,Kwame Brown,C,6-11,270,1982-03-10,US,7,,2008-9,10,DET
12,Will Bynum,PG,6-0,185,1983-01-04,US,1,"Arizona, Georgia Tech",2008-9,10,DET
32,Richard Hamilton,SG,6-6,185,1978-02-14,US,9,UConn,2008-9,10,DET
5,Walter Herrmann,SF,6-9,225,1979-06-26,AR,2,,2008-9,10,DET
1,Allen Iverson,PG,6-0,165,1975-06-07,US,12,Georgetown,2008-9,10,DET
25,Amir Johnson,PF,6-9,240,1987-05-01,US,3,,2008-9,10,DET
54,Jason Maxiell,C,6-7,260,1983-02-18,US,3,Cincinnati,2008-9,10,DET
24,Antonio McDyess,PF,6-9,220,1974-09-07,US,12,Alabama,2008-9,10,DET
22,Tayshaun Prince,SF,6-9,212,1980-02-28,US,6,Kentucky,2008-9,10,DET
42,Walter Sharpe,PF,6-9,245,1986-07-18,US,R,"Mississippi State, University of Alabama at Birmingham",2008-9,10,DET
3,Rodney Stuckey,PG,6-5,210,1986-04-21,US,1,Eastern Washington,2008-9,10,DET
30,Rasheed Wallace,C,6-10,225,1974-09-17,US,13,UNC,2008-9,10,DET
17,Chucky Atkins,PG,5-11,160,1974-08-14,US,10,South Florida,2009-10,10,DET
38,Kwame Brown,C,6-11,270,1982-03-10,US,8,,2009-10,10,DET
12,Will Bynum,PG,6-0,185,1983-01-04,US,2,"Arizona, Georgia Tech",2009-10,10,DET
5,Austin Daye,SF,6-11,220,1988-06-05,US,R,Gonzaga,2009-10,10,DET
7,Ben Gordon,SG,6-3,200,1983-04-04,GB,5,UConn,2009-10,10,DET
32,Richard Hamilton,SG,6-6,185,1978-02-14,US,10,UConn,2009-10,10,DET
33,Jonas Jerebko,PF,6-10,231,1987-03-02,SE,R,,2009-10,10,DET
54,Jason Maxiell,C,6-7,260,1983-02-18,US,4,Cincinnati,2009-10,10,DET
22,Tayshaun Prince,SF,6-9,212,1980-02-28,US,7,Kentucky,2009-10,10,DET
3,Rodney Stuckey,PG,6-5,210,1986-04-21,US,2,Eastern Washington,2009-10,10,DET
35,DaJuan Summers,SF,6-8,230,1988-01-24,US,R,Georgetown,2009-10,10,DET
31,Charlie Villanueva,PF,6-11,232,1984-08-24,US,4,UConn,2009-10,10,DET
6,Ben Wallace,C,6-9,240,1974-09-10,US,13,Virginia Union University,2009-10,10,DET
9,Chris Wilcox,PF,6-10,221,1982-09-03,US,7,Maryland,2009-10,10,DET
12,Will Bynum,PG,6-0,185,1983-01-04,US,3,"Arizona, Georgia Tech",2010-11,10,DET
5,Austin Daye,SF,6-11,220,1988-06-05,US,1,Gonzaga,2010-11,10,DET
7,Ben Gordon,SG,6-3,200,1983-04-04,GB,6,UConn,2010-11,10,DET
32,Richard Hamilton,SG,6-6,185,1978-02-14,US,11,UConn,2010-11,10,DET
54,Jason Maxiell,PF,6-7,260,1983-02-18,US,5,Cincinnati,2010-11,10,DET
1,Tracy McGrady,SG,6-8,210,1979-05-24,US,13,,2010-11,10,DET
10,Greg Monroe,C,6-11,265,1990-06-04,US,R,Georgetown,2010-11,10,DET
22,Tayshaun Prince,SF,6-9,212,1980-02-28,US,8,Kentucky,2010-11,10,DET
3,Rodney Stuckey,PG,6-5,210,1986-04-21,US,3,Eastern Washington,2010-11,10,DET
35,DaJuan Summers,SF,6-8,230,1988-01-24,US,1,Georgetown,2010-11,10,DET
31,Charlie Villanueva,PF,6-11,232,1984-08-24,US,5,UConn,2010-11,10,DET
6,Ben Wallace,C,6-9,240,1974-09-10,US,14,Virginia Union University,2010-11,10,DET
9,Chris Wilcox,PF,6-10,221,1982-09-03,US,8,Maryland,2010-11,10,DET
12,Will Bynum,PG,6-0,185,1983-01-04,US,4,"Arizona, Georgia Tech",2011-12,10,DET
5,Austin Daye,SF,6-11,220,1988-06-05,US,2,Gonzaga,2011-12,10,DET
8,Ben Gordon,SG,6-3,200,1983-04-04,GB,7,UConn,2011-12,10,DET
33,Jonas Jerebko,PF,6-10,231,1987-03-02,SE,1,,2011-12,10,DET
7,Brandon Knight,PG,6-2,195,1991-12-02,US,R,Kentucky,2011-12,10,DET
20,Vernon Macklin,C,6-10,227,1986-09-20,US,R,"Georgetown, Florida",2011-12,10,DET
54,Jason Maxiell,PF,6-7,260,1983-02-18,US,6,Cincinnati,2011-12,10,DET
10,Greg Monroe,C,6-11,265,1990-06-04,US,1,Georgetown,2011-12,10,DET
22,Tayshaun Prince,SF,6-9,212,1980-02-28,US,9,Kentucky,2011-12,10,DET
23,Walker Russell,PG,6-0,170,1982-10-06,US,R,Jacksonville State University,2011-12,10,DET
3,Rodney Stuckey,SG,6-5,210,1986-04-21,US,4,Eastern Washington,2011-12,10,DET
31,Charlie Villanueva,PF,6-11,232,1984-08-24,US,6,UConn,2011-12,10,DET
6,Ben Wallace,C,6-9,240,1974-09-10,US,15,Virginia Union University,2011-12,10,DET
9,Damien Wilkins,SF,6-6,225,1980-01-11,US,7,"NC State, Georgia",2011-12,10,DET
12,Will Bynum,PG,6-0,185,1983-01-04,US,5,"Arizona, Georgia Tech",2012-13,10,DET
8,JosÃ© CalderÃ³n,PG,6-3,200,1981-09-28,ES,7,,2012-13,10,DET
5,Austin Daye,SF,6-11,220,1988-06-05,US,3,Gonzaga,2012-13,10,DET
1,Andre Drummond,C,6-10,279,1993-08-10,US,R,UConn,2012-13,10,DET
24,Kim English,SG,6-6,200,1988-09-24,US,R,Missouri,2012-13,10,DET
33,Jonas Jerebko,PF,6-10,231,1987-03-02,SE,2,,2012-13,10,DET
7,Brandon Knight,PG,6-2,195,1991-12-02,US,1,Kentucky,2012-13,10,DET
55,Viacheslav Kravtsov,C,7-0,260,1987-08-25,UA,R,,2012-13,10,DET
50,Corey Maggette,SF,6-6,218,1979-11-12,US,13,Duke,2012-13,10,DET
54,Jason Maxiell,PF,6-7,260,1983-02-18,US,7,Cincinnati,2012-13,10,DET
32,Khris Middleton,SG,6-7,222,1991-08-12,US,R,Texas A&M,2012-13,10,DET
10,Greg Monroe,C,6-11,265,1990-06-04,US,2,Georgetown,2012-13,10,DET
22,Tayshaun Prince,SF,6-9,212,1980-02-28,US,10,Kentucky,2012-13,10,DET
25,Kyle Singler,SF,6-8,228,1988-05-04,US,R,Duke,2012-13,10,DET
3,Rodney Stuckey,SG,6-5,210,1986-04-21,US,5,Eastern Washington,2012-13,10,DET
31,Charlie Villanueva,PF,6-11,232,1984-08-24,US,7,UConn,2012-13,10,DET
1,Chauncey Billups,SG,6-3,202,1976-09-25,US,16,Colorado,2013-14,10,DET
12,Will Bynum,PG,6-0,185,1983-01-04,US,6,"Arizona, Georgia Tech",2013-14,10,DET
5,Kentavious Caldwell-Pope,SG,6-5,205,1993-02-18,US,R,Georgia,2013-14,10,DET
13,Luigi Datome,SF,6-8,215,1987-11-27,IT,R,,2013-14,10,DET
0,Andre Drummond,C,6-10,279,1993-08-10,US,1,UConn,2013-14,10,DET
55,Josh Harrellson,C,6-10,275,1989-02-12,US,2,Kentucky,2013-14,10,DET
7,Brandon Jennings,PG,6-1,170,1989-09-23,US,4,,2013-14,10,DET
33,Jonas Jerebko,PF,6-10,231,1987-03-02,SE,3,,2013-14,10,DET
9,Tony Mitchell,PF,6-8,235,1992-04-07,US,R,University of North Texas,2013-14,10,DET
10,Greg Monroe,PF,6-11,265,1990-06-04,US,3,Georgetown,2013-14,10,DET
25,Kyle Singler,SF,6-8,228,1988-05-04,US,1,Duke,2013-14,10,DET
34,Peyton Siva,SG,6-0,185,1990-10-24,US,R,Louisville,2013-14,10,DET
6,Josh Smith,SF,6-9,225,1985-12-05,US,9,,2013-14,10,DET
3,Rodney Stuckey,SG,6-5,210,1986-04-21,US,6,Eastern Washington,2013-14,10,DET
31,Charlie Villanueva,PF,6-11,232,1984-08-24,US,8,UConn,2013-14,10,DET
50,Joel Anthony,C,6-9,245,1982-08-09,CA,7,UNLV,2014-15,10,DET
14,D.J. Augustin,PG,5-11,183,1987-11-10,US,6,Texas,2014-15,10,DET
31,Caron Butler,SF,6-7,228,1980-03-13,US,12,UConn,2014-15,10,DET
